id,QRコード読取日時,アンケート回答日時,言語,会員ID,県,エリア,業種,生まれ年,性別,国籍,世帯年収(金額),世帯年収(通貨),訪日目的ALL,観光・レジャー,家族・知人訪問,ハネムーン,学校関係の旅行,スポーツ・スポーツ観戦,イベント,留学,治療・検診,インセンティブツアー,ビジネス（展示会・見本市）,ビジネス（国際会議）,ビジネス（企業ミーティング）,ビジネス（研修）,ビジネス（その他ビジネス）,トランジット,日本国内在住,その他,同伴者,滞在日数,旅の総予算(金額),旅の総予算(通貨),宿泊予算(金額),宿泊予算(通貨),旅行情報元ALL,日本政府観光局(JNTO)ホームページ,旅行会社ホームページ,宿泊施設ホームページ,航空会社ホームページ,地方観光協会ホームページ,宿泊予約サイト(例：Agoda、Expedia、Booking.com等),口コミサイト（Tripadvisor等）,Google Mapなどの地図アプリやサイトでの検索,Instagram,X (Twitter),Facebook,YouTube,その他SNS,個人のブログ,その他インターネットサイト（検索サイトを除く）,日本政府観光局の案内所,旅行会社パンフレット,旅行ガイドブック,自国の親戚・知人,日本在住の親族・知人,旅行の展示会や見本市,テレビ番組,新聞,旅行専門誌,その他雑誌,特になし,訪日回数,訪問目的(県)ALL,日本食を食べること,日本の酒を飲むこと（日本酒・焼酎等）,旅館に宿泊,温泉入浴,自然・景勝地観光,繁華街の街歩き,ショッピング,美術館・博物館・動植物園・水族館,テーマパーク,スキー・スノーボード,その他スポーツ（ゴルフ等）,舞台・音楽鑑賞,スポーツ観戦（相撲・サッカー等）,自然体験ツアー・農山漁村体験,四季の体感（花見・紅葉・雪等）,映画・アニメ縁の地を訪問,日本の歴史・伝統文化体験,日本の日常生活体験,日本のポップカルチャーを楽しむ,上記には当てはまるものがない,訪問目的(施設)ALL,行きたい観光スポットがあったから,景観・自然・気候を楽しみたいから,行きたいお店・ここでしか購入できないものがあるから,泊まりたいホテル・旅館があるから,温泉を楽しみたいから,地域の食事や特産品を味わいたい（or買いたい）から,ドライブ・ツーリングを楽しみたいから,写真を撮影したいから,日常を離れ、バカンスを楽しみたいから,費用が手頃だから,以前に訪問し気に入ったから,友人・知人に勧められたから,テレビ・雑誌・インターネットで紹介されていたから,同行者が訪問したがったから,ツアーに組み込まれていたから,出張など用事があったため,満足度(施設),満足度の理由(施設),一人当たりの消費額(施設)(金額),一人当たりの消費額(施設)(通貨),交通手段(施設)ALL,レンタカー,借上バス,路線バス,タクシー,ハイヤー,自転車,鉄道,徒歩,認知経路(施設)ALL,家族・知人への推奨度(施設),推奨度の理由(旅行),推奨度の理由(旅行)_ja
8,2024-09-01 15:43:38,2024-09-01 15:45:20,英語,6,石川県,金沢,体験・観光施設,1995,女,中国,1000,円/日本　￥(JPY),"家族・知人訪問
",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,配偶者・パートナー,15,10000,元/中国　Y(CNY),700,元/中国　Y(CNY),"日本政府観光局(JNTO)ホームページ
地方観光協会ホームページ
",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"日本食を食べること
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"行きたい観光スポットがあったから
景観・自然・気候を楽しみたいから
",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,大変満足,,420,円/日本　￥(JPY),"徒歩
",0,0,0,0,0,0,0,1,"地方観光協会ホームページ
",10,,
7,2024-09-01 15:42:26,2024-09-01 15:46:13,英語,5,石川県,金沢,体験・観光施設,1995,男,中国,5,元/中国　Y(CNY),"観光・レジャー
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,配偶者・パートナー,12,200000,円/日本　￥(JPY),80000,円/日本　￥(JPY),"地方観光協会ホームページ
口コミサイト（Tripadvisor等）
Google Mapなどの地図アプリやサイトでの検索
YouTube
旅行ガイドブック
",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,"日本食を食べること
温泉入浴
美術館・博物館・動植物園・水族館
",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"日常を離れ、バカンスを楽しみたいから
費用が手頃だから
",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,大変満足,,400,円/日本　￥(JPY),"徒歩
",0,0,0,0,0,0,0,1,"地方観光協会ホームページ
旅行ガイドブック
",8,,
10,2024-09-02 17:55:26,2024-09-02 18:00:21,英語,8,石川県,金沢,その他,1990,女,シンガポール,80000,ドル/シンガポール　S$(SGD),"観光・レジャー
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,友人・知人,7,1000,ドル/シンガポール　S$(SGD),2000,ドル/シンガポール　S$(SGD),"宿泊予約サイト(例：Agoda、Expedia、Booking.com等)
口コミサイト（Tripadvisor等）
Google Mapなどの地図アプリやサイトでの検索
旅行ガイドブック
日本在住の親族・知人
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"日本食を食べること
旅館に宿泊
温泉入浴
自然・景勝地観光
繁華街の街歩き
美術館・博物館・動植物園・水族館
自然体験ツアー・農山漁村体験
日本の歴史・伝統文化体験
日本の日常生活体験
",1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,"行きたい観光スポットがあったから
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,大変満足,No,0,ドル/シンガポール　S$(SGD),"徒歩
",0,0,0,0,0,0,0,1,"その他
",8,Ryokans at kagaonsen,加賀温泉の旅館
12,2024-09-03 10:48:34,2024-09-03 10:56:19,繁体,10,富山県,富山,宿泊施設,1964,男,台湾 ,2,円/日本　￥(JPY),"観光・レジャー
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,配偶者・パートナー,27,410000,円/日本　￥(JPY),7500,円/日本　￥(JPY),"日本政府観光局(JNTO)ホームページ
地方観光協会ホームページ
宿泊予約サイト(例：Agoda、Expedia、Booking.com等)
Google Mapなどの地図アプリやサイトでの検索
Facebook
",1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,"日本食を食べること
日本の酒を飲むこと（日本酒・焼酎等）
自然・景勝地観光
日本の歴史・伝統文化体験
",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"行きたい観光スポットがあったから
地域の食事や特産品を味わいたい（or買いたい）から
",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,満足,,5000,円/日本　￥(JPY),"鉄道
徒歩
",0,0,0,0,0,0,1,1,"日本政府観光局(JNTO)ホームページ
宿泊施設ホームページ
地方観光協会ホームページ
宿泊予約サイト(例：Agoda、Expedia、Booking.com等)
Google Mapなどの地図アプリやサイトでの検索
",7,,
13,2024-09-03 19:10:47,2024-09-03 19:19:56,繁体,11,富山県,富山,宿泊施設,1968,女,台湾 ,200000,円/日本　￥(JPY),"観光・レジャー
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,配偶者・パートナー,28,150000,円/日本　￥(JPY),250000,円/日本　￥(JPY),"地方観光協会ホームページ
Google Mapなどの地図アプリやサイトでの検索
その他インターネットサイト（検索サイトを除く）
旅行専門誌
",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,"日本食を食べること
日本の歴史・伝統文化体験
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"行きたい観光スポットがあったから
地域の食事や特産品を味わいたい（or買いたい）から
費用が手頃だから
",1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,満足,,15000,円/日本　￥(JPY),"路線バス
鉄道
徒歩
",0,0,1,0,0,0,1,1,"地方観光協会ホームページ
Google Mapなどの地図アプリやサイトでの検索
旅行専門誌
",9,越中八尾祭典，富山灣湾にぎり,越中八尾祭典、富山湾のにぎわい
14,2024-09-04 13:32:36,2024-09-04 13:40:17,繁体,12,富山県,高岡・氷見・射水,体験・観光施設,1996,女,台湾 ,100000,円/日本　￥(JPY),"観光・レジャー
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,配偶者・パートナー,9,100000,円/日本　￥(JPY),50000,円/日本　￥(JPY),"宿泊施設ホームページ
地方観光協会ホームページ
宿泊予約サイト(例：Agoda、Expedia、Booking.com等)
Google Mapなどの地図アプリやサイトでの検索
Instagram
YouTube
",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"日本食を食べること
自然・景勝地観光
",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"景観・自然・気候を楽しみたいから
行きたいお店・ここでしか購入できないものがあるから
地域の食事や特産品を味わいたい（or買いたい）から
ドライブ・ツーリングを楽しみたいから
",0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,大変満足,規劃很好,6000,円/日本　￥(JPY),"レンタカー
",1,0,0,0,0,0,0,0,"YouTube
",10,希望別人也能有好的旅遊體驗,他の人たちも良い旅行体験ができることを願っています。
15,2024-09-04 14:42:39,2024-09-04 14:47:50,繁体,13,富山県,砺波・五箇山,体験・観光施設,1983,女,台湾 ,100000,円/日本　￥(JPY),"観光・レジャー
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,家族・親族（大人）,4,100000,円/日本　￥(JPY),5000,円/日本　￥(JPY),"日本政府観光局(JNTO)ホームページ
旅行会社ホームページ
宿泊施設ホームページ
航空会社ホームページ
地方観光協会ホームページ
宿泊予約サイト(例：Agoda、Expedia、Booking.com等)
Google Mapなどの地図アプリやサイトでの検索
",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,"日本食を食べること
日本の酒を飲むこと（日本酒・焼酎等）
旅館に宿泊
温泉入浴
自然・景勝地観光
繁華街の街歩き
ショッピング
美術館・博物館・動植物園・水族館
自然体験ツアー・農山漁村体験
日本の歴史・伝統文化体験
日本の日常生活体験
",1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,"景観・自然・気候を楽しみたいから
写真を撮影したいから
ツアーに組み込まれていたから
",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,満足,看到很多特殊的鬱金香，跟如何整年都抱持花開的知識。,500,円/日本　￥(JPY),"借上バス
",0,1,0,0,0,0,0,0,"旅行会社ホームページ
",5,麝香葡萄非常好吃！,マスカットはとても美味しいです！
16,2024-09-04 14:50:48,2024-09-04 14:53:28,繁体,13,石川県,金沢,宿泊施設,1983,女,台湾 ,100000,円/日本　￥(JPY),"観光・レジャー
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,家族・親族（大人）,4,100000,円/日本　￥(JPY),5000,円/日本　￥(JPY),"日本政府観光局(JNTO)ホームページ
旅行会社ホームページ
宿泊施設ホームページ
航空会社ホームページ
地方観光協会ホームページ
宿泊予約サイト(例：Agoda、Expedia、Booking.com等)
Google Mapなどの地図アプリやサイトでの検索
",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,"日本食を食べること
日本の酒を飲むこと（日本酒・焼酎等）
旅館に宿泊
自然・景勝地観光
繁華街の街歩き
ショッピング
美術館・博物館・動植物園・水族館
テーマパーク
四季の体感（花見・紅葉・雪等）
日本の歴史・伝統文化体験
日本の日常生活体験
",1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,"泊まりたいホテル・旅館があるから
地域の食事や特産品を味わいたい（or買いたい）から
ツアーに組み込まれていたから
",0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,大変満足,早餐非常豐盛好吃，房間也很大，提供飲用水及二樓的棒茶非常貼心。,20000,円/日本　￥(JPY),"借上バス
",0,1,0,0,0,0,0,0,"旅行会社ホームページ
宿泊施設ホームページ
",10,早餐非常豐盛好吃，房間也很大，提供飲用水及二樓的棒茶非常貼心。,朝食はとても豊富で美味しく、部屋も広々としていました。飲料水の提供や、2階のほうじ茶のサービスもとても気配りが行き届いていました。
17,2024-09-04 20:03:11,2024-09-04 20:09:19,英語,14,福井県,永平寺・奥越,体験・観光施設,1975,男,その他,5200000,円/日本　￥(JPY),"観光・レジャー
日本国内在住
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,配偶者・パートナー,2,50000,円/日本　￥(JPY),30000,円/日本　￥(JPY),"その他SNS
個人のブログ
その他インターネットサイト（検索サイトを除く）
旅行ガイドブック
日本在住の親族・知人
",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,12,"日本食を食べること
日本の酒を飲むこと（日本酒・焼酎等）
温泉入浴
自然・景勝地観光
日本の歴史・伝統文化体験
",1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"行きたい観光スポットがあったから
景観・自然・気候を楽しみたいから
写真を撮影したいから
日常を離れ、バカンスを楽しみたいから
友人・知人に勧められたから
",1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,大変満足,,2000,円/日本　￥(JPY),"レンタカー
",1,0,0,0,0,0,0,0,"その他SNS
その他インターネットサイト（検索サイトを除く）
日本在住の親族・知人
",10,,
19,2024-09-05 10:03:00,2024-09-05 10:04:21,繁体,16,石川県,能登,その他,1993,男,中国,1500,ドル/アメリカ　$(USD),"観光・レジャー
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,配偶者・パートナー,5,1500,ドル/アメリカ　$(USD),500,ドル/アメリカ　$(USD),"旅行会社ホームページ
航空会社ホームページ
宿泊予約サイト(例：Agoda、Expedia、Booking.com等)
口コミサイト（Tripadvisor等）
",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"温泉入浴
自然・景勝地観光
",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"行きたい観光スポットがあったから
泊まりたいホテル・旅館があるから
ドライブ・ツーリングを楽しみたいから
",1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,大変満足,,80,ドル/アメリカ　$(USD),"レンタカー
",1,0,0,0,0,0,0,0,"航空会社ホームページ
",8,,
